name,region_code,state_region_code
Eisenstadt,101,1
Rust,102,1
Deutsch-Brodersdorf,103,1
Wampersdorf,103,1
Neufeld an der Leitha,103,1
Siegendorf,103,1
Zagersdorf,103,1
Klingenbach,103,1
Zillingtal,103,1
Steinbrunn,103,1
Wulkaprodersdorf,103,1
Großhöflein,103,1
Müllendorf,103,1
Hornstein,103,1
Trausdorf an der Wulka,103,1
St. Margarethen im Burgenland,103,1
Oggau,103,1
Oslip,103,1
Mörbisch am See,103,1
Schützen am Gebirge,103,1
Donnerskirchen,103,1
Purbach am Neusiedler See,103,1
Breitenbrunn am Neusiedler See,103,1
Eberau,104,1
Strem,104,1
Ollersdorf im Burgenland,104,1
Olbendorf,104,1
St. Michael im Burgenland,104,1
Güttenbach,104,1
Neuberg im Burgenland,104,1
Güssing,104,1
Gerersdorf bei Güssing,104,1
Kukmirn,104,1
Tobaj,104,1
Stegersbach,104,1
Stinatz,104,1
Burgauberg-Neudauberg,104,1
Burgau,104,1
Neudau,104,1
Wörth an der Lafnitz,104,1
Heiligenkreuz im Lafnitztal,105,1
Eltendorf,105,1
Königsdorf,105,1
Dobersdorf,105,1
Rudersdorf,105,1
Deutsch Kaltenbrunn,105,1
Jennersdorf,105,1
Mogersdorf,105,1
St. Martin an der Raab,105,1
Minihof-Liebau,105,1
Neuhaus am Klausenbach,105,1
Loipersbach im Burgenland,106,1
Draßburg,106,1
Schattendorf,106,1
Zemendorf,106,1
Hirm,106,1
Krensdorf,106,1
Sigleß,106,1
Pöttsching,106,1
Antau,106,1
Neudörfl,106,1
Bad Sauerbrunn,106,1
Wiesen,106,1
Mattersburg,106,1
Forchtenstein,106,1
Marz,106,1
Rohrbach bei Mattersburg,106,1
Sieggraben,106,1
Berg,107,1
Kittsee,107,1
Pama,107,1
Deutsch Jahrndorf,107,1
Zurndorf,107,1
Nickelsdorf,107,1
Bruck an der Leitha,107,1
Wilfleinsdorf,107,1
Potzneusiedl,107,1
Gattendorf,107,1
Neudorf,107,1
Winden am See,107,1
Jois,107,1
Neusiedl am See,107,1
Parndorf,107,1
Weiden am See,107,1
Gols,107,1
Mönchhof,107,1
Halbturn,107,1
Frauenkirchen,107,1
Podersdorf am See,107,1
Illmitz,107,1
Apetlon,107,1
Wallern im Burgenland,107,1
Pamhagen,107,1
St. Andrä am Zicksee,107,1
Tadten,107,1
Andau,107,1
Deutschkreutz,108,1
Nikitsch,108,1
Großwarasdorf,108,1
Neckenmarkt,108,1
Horitschon,108,1
Lackendorf,108,1
Lackenbach,108,1
Ritzing,108,1
Weppersdorf,108,1
Kobersdorf,108,1
Markt St. Martin,108,1
Kaisersdorf,108,1
Neutal,108,1
Stoob,108,1
Oberpullendorf,108,1
Lutzmannsburg,108,1
Unterrabnitz,108,1
Draßmarkt,108,1
Piringsdorf,108,1
Weingraben,108,1
Pilgersdorf,108,1
Lockenhaus,108,1
Rattersdorf-Liebing,108,1
Mannersdorf an der Rabnitz,108,1
Oberloisdorf,108,1
Unterpullendorf,108,1
Steinberg-Dörfl,108,1
Hannersdorf,109,1
Deutsch Schützen,109,1
Rotenturm an der Pinka,109,1
Unterwart,109,1
Großpetersdorf,109,1
Mischendorf,109,1
Kohfidisch,109,1
Kemeten,109,1
Litzelsdorf,109,1
Oberwart,109,1
Loipersdorf-Kitzladen,109,1
Markt Allhau,109,1
Wolfau,109,1
Riedlingsdorf,109,1
Pinkafeld,109,1
Wiesfleck,109,1
Bad Tatzmannsdorf,109,1
Oberschützen,109,1
Mariasdorf,109,1
Bernstein,109,1
Unterkohlstätten,109,1
Stadtschlaining,109,1
Weiden bei Rechnitz,109,1
Markt Neuhodis,109,1
Rechnitz,109,1
Schachendorf,109,1
Klagenfurt am Wörthersee,201,2
Klagenfurt-Wölfnitz,201,2
Villach,202,2
Villach-Warmbad Villach,202,2
Villach-Landskron,202,2
Villach-St. Magdalen,202,2
Vorderberg,203,2
Görtschach,203,2
Hermagor,203,2
Weißbriach,203,2
St. Stefan an der Gail,203,2
Egg,203,2
Jenig,203,2
Kirchbach,203,2
Reisach,203,2
Gundersheim,203,2
Dellach,203,2
Kötschach-Mauthen,203,2
St. Jakob im Lesachtal,203,2
Birnbaum,203,2
Liesing,203,2
St. Lorenzen im Lesachtal,203,2
Maria Luggau,203,2
Moosburg,204,2
Maria Saal,204,2
Pischeldorf,204,2
Ebenthal,204,2
Köttmannsdorf,204,2
Ludmannsdorf,204,2
Klagenfurt-Viktring,204,2
Keutschach,204,2
Reifnitz,204,2
Maria Wörth,204,2
Poggersdorf,204,2
Grafenstein,204,2
Maria Rain,204,2
Strau,204,2
Unterbergen,204,2
Ferlach,204,2
St. Margareten im Rosental,204,2
Feistritz im Rosental,204,2
Krumpendorf,204,2
Pörtschach am Wörther See,204,2
