station_id,name,address,postal_code,city,latitude,longitude
166,OMV - Klagenfurt Völkermarkter Straße 272,Voelkermarkter Strasse 272,9020,Klagenfurt,46.62956,14.35681
171,OMV - Ansfelden Traunuferstraße 108,Traunuferstrasse 108,4052,Ansfelden,48.21607,14.27936
172,OMV - Attnang-Puchheim Salzburger Straße 91,Salzburger Strasse 91,4800,Attnang-Puchheim,48.00541,13.70937
175,avanti - Kufstein Schubertstraße 20,Schubertstrasse 20,6330,Kufstein,47.58636,12.16222
177,OMV - Wels Eisenfeldstraße 2,Eisenfeldstrasse 2,4600,Wels,48.16575,14.0391
181,OMV - Schwarzach Salzburger Straße 52,Salzburger Strasse 52,5620,Schwarzach,47.32019,13.14384
182,OMV - Salzburg Alpenstraße 106,Alpenstrasse 106,5020,Salzburg,47.77622,13.06826
187,avanti - Kirchdorf in Tirol Innsbrucker Straße 51,Innsbrucker Strasse 51,6383,Kirchdorf in Tirol,47.54417,12.44904
228,OMV - Gmunden Bahnhofstraße 42,Bahnhofstrasse 42,4810,Gmunden,47.92428,13.78782
234,avanti - Wien Wagramer Straße 179,Wagramer Strasse 179,1210,Wien,48.25964,16.45031
257,OMV - Dobl (Kaiserwald) Autobahn A2 (Südautobahn) KM 190,Autobahn A2 (Suedautobahn) KM 190,8143,Dobl (Kaiserwald),46.95939,15.38155
259,OMV - Oberwart Grazer Straße 123,Grazer Strasse 123,7400,Oberwart,47.28297,16.18523
276,OMV - Obertrum Salzburger Straße 2,Salzburger Strasse 2,5162,Obertrum,47.93554,13.08069
284,OMV - Linz Hafenstraße 8,Hafenstrasse 8,4020,Linz,48.31554,14.30166
334,OMV - Wien Sterngasse 13,Sterngasse 13,1230,Wien,48.14891,16.33836
355,OMV - Villach Maria-Gailer-Straße 53,Maria-Gailer-Strasse 53,9500,Villach,46.60434,13.87092
361,OMV - Lienz Tiroler Straße 10,Tiroler Strasse  10,9900,Lienz,46.83095,12.77553
374,OMV - Weiden am See Parz. Nr. 2164 17-18,Parz. Nr. 2164 17-18,7100,Weiden am See,47.9375,16.85532
380,OMV - Schwaz Münchner Straße 24,Muenchner Strasse 24,6130,Schwaz,47.35044,11.70603
391,OMV - Strasshof Hauptstraße 119,Hauptstrasse 119,2231,Strasshof,48.31458,16.6256
410,OMV - Golling an der Salzach Autobahn Golling Ost 31,Autobahn Golling Ost 31,5440,Golling an der Salzach,47.58396,13.1575
450,OMV - Wolfsberg Klagenfurter Straße 16,Klagenfurter Strasse 16,9400,Wolfsberg,46.82775,14.83911
453,avanti - Alkoven Strass 16,Strass 16,4072,Alkoven,48.28792,14.07613
457,avanti - Marchtrenk Welser Straße 53,Welser Strasse 53,4614,Marchtrenk,48.18954,14.09827
459,avanti - Thalgau Salzburger Straße 49,Salzburger Strasse 49,5303,Thalgau,47.84126,13.24865
461,OMV - Asten An der Bundesstraße 1 ca.1KM,An der Bundesstrasse 1 ca.1KM,4481,Asten,48.22243,14.40833
462,avanti - Linz Unionstraße 71a,Unionstrasse 71a,4020,Linz,48.28312,14.28828
482,OMV - Stockerau Autobahn A 22,Autobahn A 22 ,2000,Stockerau,48.38086,16.20408
488,OMV - Graz Straßganger Straße 436,Strassganger Strasse 436,8054,Graz,47.03326,15.39896
495,OMV - Braunau Salzburger Straße 99,Salzburger Strasse 99,5280,Braunau,48.24673,13.0403
1109,JVG JOHANNA - GARAGE GmbH,Johannagasse 28,1050,Wien,48.1854701,16.3473292
1111, Tankstelle Braunstingl,Drasenhofen 330,2165,Drasenhofen,48.7510538,16.6487938
1116,Treibstoffparadies,Grazerstraße 2,8522,Gr. St. Florian,46.8242704,15.3179707
1135,NNB BRUNNENTANKSTELLE,Brunnengasse 4,1160,WIEN,48.20462,16.334813
1141,Eybel GmbH BP Tankstelle,Aibl 72,8552,Eibiswald,46.681729,15.229776
1146,Heppner & Oberndorfer Bedienungstankstelle,Lastenstraße 11,4623,Gunskirchen,48.1323355,13.944564
2061,"PINK - so pink, so clever",Reitingerstrasse 1,4641,Steinhaus,48.1039304,14.0397516
2070,freie Tankstelle,Hirschegg 50,8584,Hirschegg,47.0201138,14.9572875
2075,"Autohaus Trummer, freie Tankstelle",Gnas 120,8342,Gnas,46.8706748,15.8259354
2086,Tankstelle Pein Susanne GmbH,Grazerstrasse 55,8480,Mureck,46.7063947,15.7597657
2098,Deine Tankstelle,Égelsdorf 14,8261,Sinabelkirchen,47.1208582,15.8132125
