postal_code,region_code,state_region_code
7000,101,1
7071,102,1
2443,103,1
2485,103,1
2491,103,1
7011,103,1
7012,103,1
7013,103,1
7034,103,1
7035,103,1
7041,103,1
7051,103,1
7052,103,1
7053,103,1
7061,103,1
7062,103,1
7063,103,1
7064,103,1
7072,103,1
7081,103,1
7082,103,1
7083,103,1
7091,103,1
7521,104,1
7522,104,1
7533,104,1
7534,104,1
7535,104,1
7536,104,1
7537,104,1
7540,104,1
7542,104,1
7543,104,1
7544,104,1
7551,104,1
7552,104,1
7574,104,1
8291,104,1
8292,104,1
8293,104,1
7561,105,1
7562,105,1
7563,105,1
7564,105,1
7571,105,1
7572,105,1
8380,105,1
8382,105,1
8383,105,1
8384,105,1
8385,105,1
7020,106,1
7021,106,1
7022,106,1
7023,106,1
7024,106,1
7031,106,1
7032,106,1
7033,106,1
7042,106,1
7201,106,1
7202,106,1
7203,106,1
7210,106,1
7212,106,1
7221,106,1
7222,106,1
7223,106,1
2413,107,1
2421,107,1
2422,107,1
2423,107,1
2424,107,1
2425,107,1
2460,107,1
2462,107,1
2473,107,1
2474,107,1
2475,107,1
7092,107,1
7093,107,1
7100,107,1
7111,107,1
7121,107,1
7122,107,1
7123,107,1
7131,107,1
7132,107,1
7141,107,1
7142,107,1
7143,107,1
7151,107,1
7152,107,1
7161,107,1
7162,107,1
7163,107,1
7301,108,1
7302,108,1
7304,108,1
7311,108,1
7312,108,1
7321,108,1
7322,108,1
7323,108,1
7331,108,1
7332,108,1
7341,108,1
7342,108,1
7343,108,1
7344,108,1
7350,108,1
7361,108,1
7371,108,1
7372,108,1
7373,108,1
7374,108,1
7441,108,1
7442,108,1
7443,108,1
7444,108,1
7451,108,1
7452,108,1
7453,108,1
7473,109,1
7474,109,1
7501,109,1
7502,109,1
7503,109,1
7511,109,1
7512,109,1
7531,109,1
7532,109,1
7400,109,1
7410,109,1
7411,109,1
7412,109,1
7422,109,1
7423,109,1
7425,109,1
7431,109,1
7432,109,1
7433,109,1
7434,109,1
7435,109,1
7461,109,1
7463,109,1
7464,109,1
7471,109,1
7472,109,1
9020,201,2
9061,201,2
9500,202,2
9504,202,2
9523,202,2
9524,202,2
9614,203,2
9615,203,2
9620,203,2
9622,203,2
9623,203,2
9624,203,2
9631,203,2
9632,203,2
9633,203,2
9634,203,2
9635,203,2
9640,203,2
9651,203,2
9652,203,2
9653,203,2
9654,203,2
9655,203,2
9062,204,2
9063,204,2
9064,204,2
9065,204,2
9071,204,2
9072,204,2
9073,204,2
9074,204,2
9081,204,2
9082,204,2
9130,204,2
9131,204,2
9161,204,2
9162,204,2
9163,204,2
9170,204,2
9173,204,2
9181,204,2
9201,204,2
9210,204,2
9212,204,2
9535,204,2
9572,205,2
9300,205,2
9311,205,2
9312,205,2
9313,205,2
9314,205,2
9321,205,2
9322,205,2
9330,205,2
9334,205,2
9335,205,2
9341,205,2
9342,205,2
9343,205,2
9344,205,2
9345,205,2
9346,205,2
9360,205,2
9361,205,2
9362,205,2
9363,205,2
9371,205,2
9372,205,2
9373,205,2
9374,205,2
9375,205,2
9376,205,2
9556,205,2
9701,206,2
9751,206,2
9753,206,2
9754,206,2
9761,206,2
9762,206,2
9771,206,2
9772,206,2
9773,206,2
9781,206,2
9800,206,2
9805,206,2
9811,206,2
9812,206,2
9813,206,2
9814,206,2
9815,206,2
9816,206,2
9821,206,2
9822,206,2
9831,206,2
9832,206,2
9833,206,2
9841,206,2
9842,206,2
9843,206,2
9844,206,2
9851,206,2
9852,206,2
9853,206,2
9854,206,2
9861,206,2
9862,206,2
9863,206,2
9871,206,2
9872,206,2
9545,206,2
9546,206,2
9580,207,2
9581,207,2
9582,207,2
9583,207,2
9584,207,2
9585,207,2
9586,207,2
9587,207,2
9601,207,2
9602,207,2
9611,207,2
9612,207,2
9613,207,2
9702,207,2
9710,207,2
9711,207,2
9712,207,2
9713,207,2
9714,207,2
9721,207,2
9722,207,2
9873,207,2
9182,207,2
9183,207,2
9184,207,2
9220,207,2
9231,207,2
9232,207,2
9241,207,2
9520,207,2
9521,207,2
9530,207,2
9531,207,2
9536,207,2
9541,207,2
9542,207,2
9543,207,2
9544,207,2
9100,208,2
9102,208,2
9103,208,2
9111,208,2
9112,208,2
9113,208,2
9121,208,2
9122,208,2
9123,208,2
9125,208,2
9132,208,2
9133,208,2
9135,208,2
9141,208,2
9142,208,2
9143,208,2
9150,208,2
9155,208,2
9400,209,2
9411,209,2
9412,209,2
9413,209,2
9421,209,2
9422,209,2
9423,209,2
9431,209,2
9433,209,2
9441,209,2
9451,209,2
9461,209,2
9462,209,2
9463,209,2
9470,209,2
9472,209,2
9473,209,2
9571,210,2
9551,210,2
9552,210,2
9554,210,2
9555,210,2
9560,210,2
9562,210,2
9563,210,2
9564,210,2
9565,210,2
9570,210,2
3500,301,3
3506,301,3
3100,302,3
3104,302,3
3105,302,3
3107,302,3
3151,302,3
3340,303,3
2700,304,3
3300,305,3
3304,305,3
3311,305,3
3312,305,3
3313,305,3
3314,305,3
3321,305,3
3322,305,3
3323,305,3
3324,305,3
3325,305,3
3331,305,3
3332,305,3
3333,305,3
3341,305,3
3342,305,3
3343,305,3
3344,305,3
3350,305,3
3351,305,3
3352,305,3
3353,305,3
3354,305,3
3355,305,3
3361,305,3
3362,305,3
3363,305,3
3364,305,3
3365,305,3
4300,305,3
4303,305,3
4431,305,3
4432,305,3
4441,305,3
4482,305,3
2440,306,3
2441,306,3
2442,306,3
2444,306,3
2483,306,3
2486,306,3
2500,306,3
2504,306,3
2511,306,3
2512,306,3
2514,306,3
2521,306,3
2522,306,3
2523,306,3
2524,306,3
2525,306,3
2532,306,3
2533,306,3
2534,306,3
2540,306,3
2542,306,3
2544,306,3
2551,306,3
2552,306,3
2560,306,3
2563,306,3
2564,306,3
2565,306,3
2571,306,3
2602,306,3
1300,307,3
2320,307,3
2322,307,3
2325,307,3
2326,307,3
2333,307,3
2401,307,3
2402,307,3
2403,307,3
2404,307,3
2405,307,3
2410,307,3
2412,307,3
2431,307,3
2432,307,3
2433,307,3
2434,307,3
2435,307,3
2451,307,3
2452,307,3
2453,307,3
2454,307,3
2463,307,3
2464,307,3
2465,307,3
2471,307,3
2472,307,3
2181,308,3
2182,308,3
2183,308,3
2184,308,3
2185,308,3
2214,308,3
2215,308,3
2221,308,3
2222,308,3
2223,308,3
2224,308,3
2225,308,3
2230,308,3
2231,308,3
2232,308,3
2241,308,3
2242,308,3
2243,308,3
2244,308,3
2245,308,3
2251,308,3
2252,308,3
2253,308,3
2261,308,3
2262,308,3
2263,308,3
2264,308,3
2265,308,3
2272,308,3
2273,308,3
2280,308,3
2281,308,3
2282,308,3
2283,308,3
2284,308,3
2285,308,3
2286,308,3
2291,308,3
2292,308,3
2293,308,3
2294,308,3
2295,308,3
2301,308,3
2304,308,3
2305,308,3
3860,309,3
3861,309,3
3862,309,3
3863,309,3
3871,309,3
3872,309,3
3873,309,3
3874,309,3
3922,309,3
3923,309,3
3932,309,3
3942,309,3
3943,309,3
3944,309,3
3945,309,3
3950,309,3
3961,309,3
3962,309,3
3970,309,3
3971,309,3
3972,309,3
2013,310,3
2014,310,3
2020,310,3
2022,310,3
2023,310,3
2024,310,3
2031,310,3
2033,310,3
2041,310,3
2042,310,3
2051,310,3
